Date,sentiment
2015-01-01,0.13699444444444445
2015-01-02,0.11493783783783784
2015-01-03,0.04476206896551724
2015-01-04,0.08951666666666667
2015-01-05,0.12621300448430492
2015-01-06,0.09487027027027027
2015-01-07,0.0626640625
2015-01-08,0.09671329787234041
2015-01-09,0.07246682926829269
2015-01-10,0.0029914634146341467
2015-01-11,0.17565250000000002
2015-01-12,0.06417442528735631
2015-01-13,0.04032255083179298
2015-01-14,0.03338948751642576
2015-01-15,0.08601216216216216
2015-01-16,0.05382959641255605
2015-01-17,-9.999999999999639e-05
2015-01-18,0.03817640449438202
2015-01-19,0.0806890625
2015-01-20,0.06741541850220265
2015-01-21,0.12458418803418803
2015-01-22,0.09039578313253012
2015-01-23,0.0669342391304348
2015-01-24,0.07753783783783784
2015-01-25,0.0014218181818181847
2015-01-26,0.1081
2015-01-27,0.06901176470588236
2015-01-28,0.07711835443037975
2015-01-29,0.14017810945273632
2015-01-30,0.08354099378881988
2015-01-31,0.02232777777777778
2015-02-01,0.07198529411764706
2015-02-02,0.09296796116504853
2015-02-03,0.15144093023255814
2015-02-04,0.09351192052980133
2015-02-05,0.07918047337278106
2015-02-06,0.0761671568627451
2015-02-07,0.04620408163265306
2015-02-08,0.06988085106382978
2015-02-09,0.07773196721311475
2015-02-10,0.034386448598130843
2015-02-11,0.014307094594594597
2015-02-12,0.05914217473287241
2015-02-13,0.04422822580645162
2015-02-14,0.08239064748201438
2015-02-15,0.04801789473684211
2015-02-16,-0.005445192307692305
2015-02-17,0.0801530612244898
2015-02-18,0.04384
2015-02-19,0.06357950138504155
2015-02-20,0.10082610966057441
2015-02-21,0.045007482993197276
2015-02-22,0.09143174603174603
2015-02-23,0.05952996845425867
2015-02-24,0.13522102102102102
2015-02-25,0.03143754789272031
2015-02-26,0.07799518072289158
2015-02-27,0.0319640625
2015-02-28,0.030068493150684935
2015-03-01,-0.0129
2015-03-02,0.0023510810810810816
2015-03-03,0.05651627906976744
2015-03-04,0.026211636363636368
2015-03-05,0.04402421052631579
2015-03-06,0.01767516556291391
2015-03-07,0.02420251572327044
2015-03-08,0.020563541666666664
2015-03-09,-0.010382993197278912
2015-03-10,0.06127138643067847
2015-03-11,0.0788969387755102
2015-03-12,0.029019067796610173
2015-03-13,0.07234912280701755
2015-03-14,0.055798540145985405
2015-03-15,0.09218135593220339
2015-03-16,0.07633927855711423
2015-03-17,0.0987153256704981
2015-03-18,0.09777142857142858
2015-03-19,0.08734766483516483
2015-03-20,0.08161630434782609
2015-03-21,0.06510645161290322
2015-03-22,0.13297065217391305
2015-03-23,0.06057777777777778
2015-03-24,0.07468173515981735
2015-03-25,0.07196121794871795
2015-03-26,0.09683853658536586
2015-03-27,0.06805316455696202
2015-03-28,0.07588360655737704
2015-03-29,0.0840113043478261
2015-03-30,0.12371080432172869
2015-03-31,0.09720022172949001
2015-04-01,0.019556969696969698
2015-04-02,0.09136197604790419
2015-04-03,0.06732670157068063
2015-04-04,0.01932285714285715
2015-04-05,0.04718224299065421
2015-04-06,0.092922
2015-04-07,0.07656174242424242
2015-04-08,0.06874519230769231
2015-04-09,0.06570457746478874
2015-04-10,0.06480246305418719
2015-04-11,0.1613082474226804
2015-04-12,0.07050087719298247
2015-04-13,-0.028433149171270718
2015-04-14,0.07195785440613028
2015-04-15,0.026353142857142856
2015-04-16,0.044445
2015-04-17,0.008618749999999998
2015-04-18,-0.01935393258426966
2015-04-19,0.002832926829268294
2015-04-20,0.011702621722846442
2015-04-21,0.053703086419753084
2015-04-22,0.10946718480138169
2015-04-23,0.09427056603773584
2015-04-24,0.12449080459770115
2015-04-25,0.04260720720720721
2015-04-26,0.07857272727272728
2015-04-27,0.1312573189522342
2015-04-28,0.06652484848484848
2015-04-29,0.06156654545454546
2015-04-30,0.11035929203539824
2015-05-01,0.11818067307692308
2015-05-02,0.09040941176470589
2015-05-03,0.10320434782608695
2015-05-04,0.0798824120603015
2015-05-05,0.11147862595419847
2015-05-06,0.07336688172043011
2015-05-07,0.09627324159021407
2015-05-08,0.041102439024390244
2015-05-09,0.04825744047619048
2015-05-10,0.11092616822429906
2015-05-11,0.06749452449567724
2015-05-12,0.12659302325581395
2015-05-13,0.10936923076923079
2015-05-14,0.0952279883381924
2015-05-15,0.09452451253481894
2015-05-16,0.07925657370517929
2015-05-17,0.08243015873015873
2015-05-18,-0.026997766749379655
2015-05-19,0.027800000000000005
2015-05-20,0.08106390532544379
2015-05-21,0.07440574018126889
2015-05-22,0.0435728
2015-05-23,0.11181720430107527
2015-05-24,-0.08905428571428572
2015-05-25,0.10235359477124183
2015-05-26,0.0798411111111111
2015-05-27,0.10271732283464567
2015-05-28,0.14003270777479893
2015-05-29,0.11507689768976898
2015-05-30,0.15192925531914894
2015-05-31,0.13095286624203822
2015-06-01,0.1242919540229885
2015-06-02,0.08507106382978724
2015-06-03,0.05980729613733906
2015-06-04,0.10146388888888888
2015-06-05,0.09837861635220126
2015-06-06,0.05728333333333334
2015-06-07,0.11192083333333332
2015-06-08,0.14234376321353065
2015-06-09,0.07285921052631578
2015-06-10,0.08458533333333333
2015-06-11,0.07899038461538462
2015-06-12,-0.00791030534351145
2015-06-13,0.12427105263157893
2015-06-14,0.08145867768595041
2015-06-15,0.04085384615384616
2015-06-16,0.17717051792828686
2015-06-17,0.15256861313868614
2015-06-18,0.09163250773993808
2015-06-19,0.13841906614785993
2015-06-20,0.13051920903954803
2015-06-21,0.0788888888888889
2015-06-22,0.0612525
2015-06-23,0.12028442367601246
2015-06-24,0.0913239837398374
